ip_address,email_address,EVENT_TIMESTAMP,EVENT_LABEL
46.41.252.160,fake_acostasusan@example.org,2022-05-30T00:00:18Z,legit
152.58.247.12,fake_christopheryoung@example.com,2023-01-12T23:00:18Z,legit
12.252.206.222,fake_jeffrey09@example.org,2022-12-14T21:42:18Z,legit
170.81.164.240,fake_ncastro@example.org,2022-12-12T22:23:18Z,legit
165.182.68.217,fake_charles99@example.org,2022-08-21T20:24:18Z,legit
207.16.170.106,fake_johnsonjason@example.net,2022-04-08T07:17:18Z,legit
216.71.121.134,fake_jschneider@example.org,2022-11-23T07:09:18Z,legit
93.28.147.172,fake_tabitha72@example.com,2022-11-04T13:30:18Z,legit
63.50.236.31,fake_eddieblackwell@example.com,2022-08-28T04:19:18Z,legit
151.235.152.156,fake_danielcline@example.org,2023-01-25T15:40:18Z,legit
71.148.91.140,fake_allenthomas@example.com,2022-12-31T21:30:18Z,legit
91.25.144.227,fake_brittany34@example.org,2023-01-12T22:16:18Z,legit
203.226.155.163,fake_cookjohnny@example.org,2022-07-14T07:30:18Z,legit
19.120.154.197,fake_rjordan@example.com,2022-08-05T05:28:18Z,legit
36.19.221.248,fake_madisonshaffer@example.com,2022-08-07T06:26:18Z,fraud
152.148.151.39,fake_grahamkurt@example.net,2023-02-19T11:01:18Z,legit
86.133.170.219,fake_jamessims@example.net,2022-06-28T09:42:18Z,legit
140.218.55.254,fake_zhall@example.com,2022-04-17T14:12:18Z,legit
6.190.86.47,fake_uanderson@example.org,2022-04-22T02:04:18Z,legit
178.234.124.127,fake_howardraymond@example.com,2022-11-19T23:53:18Z,legit
76.191.255.240,fake_xcoleman@example.net,2023-02-10T06:32:18Z,legit
30.39.28.42,fake_laurenroth@example.com,2022-09-08T04:29:18Z,legit
30.252.183.216,fake_susan27@example.org,2022-06-08T12:37:18Z,legit
12.252.206.222,fake_davismiguel@example.com,2022-08-06T05:52:18Z,legit
105.150.12.133,fake_whitekenneth@example.com,2022-04-02T21:54:18Z,legit
140.60.62.134,fake_kparker@example.com,2022-08-27T18:37:18Z,legit
